title,description,type,tags,image,duration,uploaddate,warning,rating
Tasting Menu,"As one of the world's best restaurants opens for its final evening, a couple in the midst of a divorce who made their reservation before they separated reunite for a once-in-lifetime meal. Catalan with English subtitles.",Show description or single item,"'Comedy', 'Foreign Language', 'Movies', 'All the Feels', 'Witty'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/1e8TyPvIocrxYa6gmeGwDt/1199534070d008005e94291857c2e694/Filmstream_TastingMenu_showtile.png.1199534070d008005e94291857c2e694.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Wrapped Up in Christmas,"Christmas is one of Heather’s (Tatyana Ali, “Fresh Prince of Bel Air”) favourite times of year but she is tasked with being a grinch and cancelling the leases of under-performing stores.",Show description or single item,"'Drama', 'Movies', 'All the Feels', 'Comforting', 'Romantic'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/7kAzLPYCODBODPqdgDgAVB/0c7f81ccdd4a326f2336c44ce46a0d0a/Lifetime_Wrapped_Up_In_Christmas_coverimg.png.0c7f81ccdd4a326f2336c44ce46a0d0a.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
The Light on the Hill,The mysterious circumstances surrounding the death of a mountain shepherd awakens greed and superstition in a remote Peruvian village. Spanish with English subtitles.,Show description or single item,"'Movies', 'Drama', 'Foreign Language', 'Suspenseful', 'Mysterious', 'Psychological'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/6rAMV9ZxVyIWNNMbliga6l/6418a52b518095fc2e446b1eed754303/TheLightOnTheHill_coverimg-min.png.6418a52b518095fc2e446b1eed754303.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Hunt for the Wilderpeople,"In Taika Waititi's award-winning comedy, moody foster kid Ricky Baker is sent to live in the remote NZ bush with Bella and Hector. When Child Services try to take him back, Ricky refuses, sparking a national manhunt. Starring Julian Dennison and Sam Neill.",Show description or single item,"'Movies', 'Local', 'Comedy'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/4DHuL0SmSBcq53i8HnWVJJ/97b02c9f58d90d20e7b15f1db889cf82/hunt_for_the_wilderpeople_coverimg.jpg.97b02c9f58d90d20e7b15f1db889cf82.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
The Pā Boys,This is the story of a band on the road... A group of young Māori men form a reggae band and in the process discover what each wants out of their lives. Starring Francis Kora and Matariki Whatarau.,Show description or single item,"'Movies', 'Drama', 'Local'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/7xwHaa5pKOsOL8PJjLElsk/e739db1db47d945fe9739461eba167df/ThePaBoys_coverimg.png.e739db1db47d945fe9739461eba167df.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Heart of a Lion,A Finnish Neo-Nazi falls in love with a woman who has a bi-racial son and finds himself fighting conflicting feelings. Finnish with English subtitles.,Show description or single item,"'Drama', 'Movies', 'Foreign Language', 'All the Feels', 'Thought-Provoking'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/6RA1I4PwZsSXz59BX60Gen/58b774b9d277e977338a24c45f3c7fc6/Filmsteam_HeartofaLion_coverimg.png.58b774b9d277e977338a24c45f3c7fc6.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Harry and Meghan: A Royal Romance,"Fall in love with Prince Harry and Meghan Markle all over again, in this dramatisation of their early courtship.",Show description or single item,"'Movies', 'Drama', 'Romantic', 'Escapist'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/3qETM62wlpIzJ5xwII3dqo/1ede3cee05767d3c7f346e4b51556b64/Lifetime_Harry_MeghanARoyalRomance_coverimg.png.1ede3cee05767d3c7f346e4b51556b64.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Zama,"Zama, a Spanish officer in the 17th century, is stagnating on a remote island. Awaiting his transfer to Buenos Aires, he waits for the letter from the King to allow him to leave, but the letter never arrives. Spanish with English subtitles.",Show description or single item,"'Drama', 'Foreign Language', 'Movies'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/5Tq5Y92vcrhYOPu2Owl9vK/86b6b52019aa0e4e025cd71cd7f7717e/Zama_coverimg_v2.png.86b6b52019aa0e4e025cd71cd7f7717e.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
The Most Magnificent Thing,"An inspirational story about a clever girl with a creative spirit, who learns the power of love and selflessness through hard work and determination.",Show description or single item,"'Kids', 'Movies'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/1GaTE3CbETqHqFq6pbvcXp/14c7955086c7e8bfb54f7a9fb702a01b/The_Most_Magnificent_Thing_coverimg.png.14c7955086c7e8bfb54f7a9fb702a01b.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Dark Angel,"Based on V.C. Andrews' second novel in the Casteel series. Heaven is living in her wealthy grandmother's Boston house and dreams of a new life. But as she reaches out for love, she is ensnared in a sinister web of cruel deceits and hidden passions.",Show description or single item,"'Drama', 'Movies', 'All the Feels', 'Mysterious', 'Dark'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/2iR5k3dhqLrvHBKsUPdbIP/2e7d23610e2f7b04dd09737527383c53/Lifetime_VC_Andrews_Dark_Angel_coverimg_v2.png.2e7d23610e2f7b04dd09737527383c53.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Whale Rider,"A young Māori girl fights to fulfil her destiny in her tribe, struggling against her traditional grandfather and the belief that only a male heir can become the next chief. Starring Keisha Castle-Hughes, Rawiri Paratene.",Show description or single item,"'Movies', 'Local', 'Drama'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/2EzPaaN6loD4i0okiIJIAa/f63546d6ce92fd3baf7ace67532f7610/WhaleRider_coverv2.jpg.f63546d6ce92fd3baf7ace67532f7610.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Border,A customs officer who can smell fear develops an unusual attraction to a strange traveller while aiding a police investigation which will call into question her entire existence. Swedish with English subtitles.,Show description or single item,"'Movies', 'Drama', 'Foreign Language', 'Dark', 'Mysterious', 'Romantic', 'Scary'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/5amRnpap9PbgijHoUzBMe6/3a63198e5f8b8c6f3939a08344100b38/Border_coverimg.png.3a63198e5f8b8c6f3939a08344100b38.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
A Killer Among Us,"When 17-year-old Alex's mother is murdered, the police detective in charge of the case asks her to help find evidence that will lead them to the killer. Inspired by a true story.",Show description or single item,"'Movies', 'Drama', 'Mysterious', 'Thrilling'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/41GaMCMzEVQayChKeiTGsX/b1d1d22805e6ec98cca701af690e43f3/AKillerAmongUs_coverimg_v2.png.b1d1d22805e6ec98cca701af690e43f3.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Sione's 2: Unfinished Business,"The boys are back! They’re five years older, but are they any wiser? When Bolo goes missing, their Minister brings the boys back together and sends them on a quest. Their mission: to find one Samoan in the world's largest Polynesian city! Starring Robbie Magasiva and Oscar Kightley.",Show description or single item,"'Movies', 'Local', 'Comedy'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/QXqDOaK6RXAUVE4BfEL7m/963a94ffdf15f970407d94e2f9d49086/Siones2_coverimg.png.963a94ffdf15f970407d94e2f9d49086.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Blue is the Warmest Colour,"Adèle's life is changed when she meets Emma (Léa Seydoux), a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. French with English subtitles",Show description or single item,"'Foreign Language', 'Movies', 'Drama', 'All the Feels', 'Bold', 'Provocative'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/60c8RnAJOqg4TyZvVnS8yj/01cfd7a9dd827387165fc362849a23d2/BlueistheWarmestColour.png.01cfd7a9dd827387165fc362849a23d2.jpg?width=1600&height=457,No duration found,No upload date found,WARNING: Contains explicit sex scenes.,No content rating found
I Was Lorena Bobbitt,"Lorena Bobbitt made tabloid headlines when she cut off her husband's penis with a knife in 1993. This is her journey, from a wide-eyed, immigrant bride to a battered wife, into an unlikely media sensation.",Show description or single item,"'Drama', 'Movies', 'Revealing', 'Psychological'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/6YbRvNSdOB2KNIXegya0bO/52bd842388247048a55b538026d1c2ac/IwasLorenaBobbit_coverimg.png.52bd842388247048a55b538026d1c2ac.jpg?width=1600&height=457,No duration found,No upload date found,WARNING: Contains themes of violent sexual abuse and disturbing material.,No content rating found
Runaway Millionaires,"What would you do if you found $10 million in your bank account? Runaway Millionaires is the gripping true story of Kara Hurring and Leo Gao, an ordinary New Zealand couple who went on the run after an extraordinary sum of money was mistakenly deposited into their account. Made with the support of NZ On Air.",Show description or single item,"'Drama', 'Local', 'Movies'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/7CRN5geHMH7SyESJ0Glgpf/da876c781c009930efa9e9d8bd38d525/runawaymillionaires_coverimg.png.da876c781c009930efa9e9d8bd38d525.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
One Thousand Ropes,"When a father reconnects with his estranged teenage daughter, he is given a rare chance to reshape the future of his family in unexpected ways and put to rest the ghosts that haunt them.",Show description or single item,"'Movies', 'Local', 'Drama', 'Revealing', 'Thought-Provoking', 'All the Feels'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/6SPJCVOebCpED0KW2w1xIU/7755a61438777c3d1bded499ff3c6f7c/OneThousandRopes_coverimg.png.7755a61438777c3d1bded499ff3c6f7c.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Betty and Coretta,"Angela Bassett and Mary J Blige star as Coretta Scott King and Dr Betty Shabazz, the wives of Dr Martin Luther King and Malcolm X, in this drama about their lives in the wake of their husbands' assassinations.",Show description or single item,"'Drama', 'Movies', 'Revealing', 'Bold', 'All the Feels'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/39EC7TldDgFmYsgf3Szzgu/5057261698087cd067e080a2805efce0/betty_and_coretta_coverimg.png.5057261698087cd067e080a2805efce0.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
The Last Suit,"An 88 year-old Jewish tailor runs away from Buenos Aires to Poland, where he intends to find a friend who saved him from certain death at the end of World War II. Spanish with English subtitles.",Show description or single item,"'Movies', 'Foreign Language', 'All the Feels', 'Cheeky', 'Irreverent'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/klgQsAdTa3acMoRWkBUSu/ab30dffb085abbfef56323c361a0b40a/THeLastSuit_coverimg.png.ab30dffb085abbfef56323c361a0b40a.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Billionaire Boy,"Len and his son Joe come form humble beginnings. Their lives are turned upside down when Len invents a new toilet roll, and they become overnight billionaires. Starring David Walliams.",Show description or single item,"'Movies', 'Kids', 'Comedy'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/52QPP81vLTZr7wFjhE0FYh/1abc00843e5b9e2f4c103b78ef8b92fc/BillionaireBoy_coverimg.png.1abc00843e5b9e2f4c103b78ef8b92fc.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Park,"A group of idle and wilding youths, injured retired athletes, and stray dogs wander the ruins of the abandoned 2004 Athens Olympic Village. Greek with English subtitles.",Show description or single item,"'Movies', 'Foreign Language', 'Drama', 'Revealing', 'Thought-Provoking', 'Provocative'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/79UqPDgByo86Rx1pbfAk2o/01313d95a4b5dca2ad80e0e990bcf91a/Park_coverimg.png.01313d95a4b5dca2ad80e0e990bcf91a.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Girl in the Basement,"A chilling story coming straight from the headlines, Sara is a vibrant teen girl whose controlling father Don (Judd Nelson) imprisons her in a basement for decades, unbeknownst to her family living upstairs.",Show description or single item,"'Drama', 'Movies', 'Dark', 'Gritty', 'Suspenseful'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/jvQQOcz1ksBwOqFFEzybp/5747e555d6ec742f6408112a8d17a238/Lifetime_GirlInTheBasement_coverimg.png.5747e555d6ec742f6408112a8d17a238.jpg?width=1600&height=457,No duration found,No upload date found,WARNING: Deals with the issue of rape.,No content rating found
Once Upon a Time in Venice,Hollywood legend Bruce Willis stars as a Los Angeles detective who seeks out the ruthless gang that stole his dog. Also starring Jason Momoa and John Goodman.,Show description or single item,"'Movies', 'Drama', 'Action-Packed', 'Epic', 'Fast-Paced'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/4noNAChuG7FIXfEHPiiBPU/5ce5dd7887309620b56b8f715371d8bd/once_upon_a_time_in_venice.png.5ce5dd7887309620b56b8f715371d8bd.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Sex Life of Plants,"After an accident changes her boyfriend's personality, a woman tries to settle down and have children with a new man, but the memories of her lost love still haunt her. Spanish with English subtitles.",Show description or single item,"'Drama', 'Movies', 'Foreign Language', 'All the Feels', 'Thought-Provoking'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/Q3Wa7SMiKyFtxFt8iLlt4/cd9dbc56753ae96e972a7bcfe89ef157/SexLifeofPlants_coverimg.png.cd9dbc56753ae96e972a7bcfe89ef157.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
A Love Yarn,"A small-town wool shop owner finds herself at a crossroads, when her business is threatened by a handsome American auditor.  Starring Anna Hutchison.",Show description or single item,"'Movies', 'Local', 'Romantic', 'Kiwi As'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/3RlCHQorRjPnxpD8moqTP6/332e7ac82d278c0237fb0560353fbdf0/ALoveYarn_coverimg.png.332e7ac82d278c0237fb0560353fbdf0.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
The Clan,"The true story of the Puccio family, who made millions kidnapping and ransoming wealthy people in the 1980s. Spanish with English subtitles.",Show description or single item,"'Drama', 'Foreign Language', 'Movies', 'Thrilling', 'Gritty', 'Dark'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/1m6ymI3pSpFPGIgDgzBRJV/ce379baaf90453865004c437686a13c6/Filmstream_TheClan_coverimg.png.ce379baaf90453865004c437686a13c6.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Genghis,"The relentless, brave warriors from Ghengis Khan's Aravt crew are sent into the woods on a dangerous mission that will put the band of Mongol warriors on the edge of life and death. Mongolian with English subtitles.",Show description or single item,"'Drama', 'Foreign Language', 'Movies', 'Action-Packed', 'Epic'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/6Gf9PXsTtTPu61xJnQV6ql/144e995d0df0454b6451e111d5b88052/Filmstream_Genghis_coverimg.png.144e995d0df0454b6451e111d5b88052.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Taken: The Search for Sophie Parker,"When 18-year-old Sophie Parker is abducted on a spring break trip to Moscow, her mother, a tough NYPD detective, moves heaven and earth in her frantic quest to save her only child.",Show description or single item,"'Movies', 'Drama', 'Thrilling', 'Mysterious'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/4HbYsZh8wBOkQZdDYRvT4P/d9e26bef238e4fca4d4323e4459cdfc5/Lifetime_TakenTheSearchforSophieParker_coverimg.png.d9e26bef238e4fca4d4323e4459cdfc5.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
In A Flash,"This emotional, original drama tells the true story of the six Elim College students and their teacher who tragically lost their lives in a flash flood at Mangatepopo Gorge in April of 2008. Made with the support of NZ On Air.",Show description or single item,"'Local', 'Drama', 'Movies'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/32gQMppEDQo8t2n155oJyS/705a591d237a8a85ba1c93d4bb596e1c/InAFlash_showcover.png.705a591d237a8a85ba1c93d4bb596e1c.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
A Man Called Ove,"The Oscar-nominated comedy-drama about Ove, an ill-tempered, isolated retiree who spends his days enforcing rules that only he cares about. He's given up on life, but when a boisterous young family moves in next door, an unlikely friendship develops. Swedish with English subtitles.",Show description or single item,"'Comedy', 'Drama', 'Foreign Language', 'Movies', 'Witty', 'All the Feels', 'Quirky'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/7EaUYvXUIpyD7vDxb0bV71/ea84b98fec7ca8de4845b8a2d3e1a9c3/AManCalledOve_coverimg.png.ea84b98fec7ca8de4845b8a2d3e1a9c3.jpg?width=1600&height=457,No duration found,No upload date found,WARNING: Deals with the issue of suicide.,No content rating found
Don't Say a Word,"When a psychiatrist's daughter is kidnapped, he must use his skills and powers of persuasion to meet the abductor's demands and ensure his daughter's safety. Starring Michael Douglas and Brittany Murphy.",Show description or single item,"'Movies', 'Drama', 'Dark', 'Mysterious', 'Thrilling'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/m8FfRkZieVEy1zfQew3a9/01b2f67a48820444d3a49de9d462f611/Don-t_Say_a_Word_coverimg.png.01b2f67a48820444d3a49de9d462f611.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Restless Virgins,Based on the true story of the sex scandal which rocked New England prep school Milton Academy when the editor of the school newspaper released a sex tape featuring five senior members of the lacrosse team and a classmate.,Show description or single item,"'Drama', 'Movies', 'Revealing', 'Provocative'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/7EHd9YuYFU50pGYsMBL1kl/e94feb1e21b348d3541985117ec0cd34/Lifetime_RestlessVirgins_coverimg.png.e94feb1e21b348d3541985117ec0cd34.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Death Of A Vegas Showgirl,The true story of a Las Vegas dancer who vanishes without a trace on the eve of achieving her dream role. The subsequent investigation reveals the twisted depth of this love story gone wrong.,Show description or single item,"'Drama', 'Movies', 'Dark', 'Investigative', 'Mysterious'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/4PLRLk4RKj1BU1q41XI2vG/c0a5a130b08a7264dcfa50dd2b0e05ca/Death-of-a-Vegas-Showgirl_coverimg.png.c0a5a130b08a7264dcfa50dd2b0e05ca.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Austin Powers: International Man of Mystery,"Austin Powers, the swinging 60s secret agent, is brought out of cryofreeze in the 90s, to bring down his enemy mastermind, Dr. Evil. Starring Mike Myers.",Show description or single item,"'Movies', 'Comedy', 'Crack-Up', 'Silly'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/3vcn8iEi5itBkpZOsoYQEb/bbcfe7484edcda5e6ebcc65f3603b541/austin-powers-cover.png.bbcfe7484edcda5e6ebcc65f3603b541.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Knight and Day,"An innocent bystander is thrown into the fast-paced world of espionage, when she shares a flight with a disgraced spy trying to clear his name. Starring Tom Cruise and Cameron Diaz.",Show description or single item,"'Movies', 'Action-Packed', 'Cheeky', 'Crack-Up'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/2v65b3dzTDqeokSoRPdpkU/13ecd80887c513a4338d8e4a7c9e4f59/Knight-and-Day_coverimg.png.13ecd80887c513a4338d8e4a7c9e4f59.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
7 Boxes,"Things get complicated for a teenage delivery boy in Paraguay's infamous Market 4, when he's asked to transport seven boxes with unknown contents. Spanish with English subtitles.",Show description or single item,"'Movies', 'Foreign Language', 'Drama', 'Action-Packed', 'Suspenseful', 'Thrilling'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/2c5cZCxm6pAcI1HSwapBDM/7f5ca9e5b3c4342b728b196b6aaef1c7/Filmstream_7_Boxes_coverimg.png.7f5ca9e5b3c4342b728b196b6aaef1c7.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Girl,"Lara, a 15-year-old transgender girl, is determined to become a professional ballerina and throws herself into her quest for perfection at a new school. French with English subtitles.",Show description or single item,"'Drama', 'Foreign Language', 'Movies', 'Bold', 'All the Feels', 'Psychological'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/DdDcLL6cSP1BCXTUkJZiY/aab8d2946d8e16a6ae66790cf4cdcd6c/Filmstream_Girl_coverimg.png.aab8d2946d8e16a6ae66790cf4cdcd6c.jpg?width=1600&height=457,No duration found,No upload date found,WARNING: Contains nudity and scenes that may disturb.,No content rating found
Shoplifters,"A family of small-time crooks, who rely on shoplifting to cope with a life of poverty in Tokyo, take in a child they find outside in the cold. Japanese with English subtitles.",Show description or single item,"'Drama', 'Foreign Language', 'Movies', 'All the Feels', 'Thought-Provoking', 'Mysterious'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/3SIUKL8Mzvv5GmPhICYCT4/1d013c8e27b4e1543076326f922c8156/Shoplifters_coverimg.png.1d013c8e27b4e1543076326f922c8156.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
